Category,Mountain,Alt,User Rating,Ascents,URL,Latitude,Longitude
Munros,Sgòrr Dhònuill (Beinn a' Bheithir),1001.0,4.39,10256,https://www.walkhighlands.co.uk/munros/sgorr-dhonuill-beinn-a-bheithir,56.6506274,-5.197975
Munros,Meall Greigh,1001.0,2.65,13897,https://www.walkhighlands.co.uk/munros/meall-greigh,56.5674897,-4.1595953
Munros,Aonach Meadhoin,1001.0,3.41,6580,https://www.walkhighlands.co.uk/munros/aonach-meadhoin,57.1729061,-5.2292313
Munros,Stob Bàn (Mamores),999.0,4.43,10093,https://www.walkhighlands.co.uk/munros/stob-ban-mamores,56.7437482,-5.0303441
Munros,Sgùrr Chòinnich,999.0,3.63,4019,https://www.walkhighlands.co.uk/munros/sgurr-choinnich,57.4511483,-5.2079153
Munros,Sgùrr Breac,999.0,3.45,5839,https://www.walkhighlands.co.uk/munros/sgurr-breac,57.6921587,-5.0917029
Munros,Stob Daimh,998.0,3.64,10652,https://www.walkhighlands.co.uk/munros/stob-daimh,56.4314719,-5.0915723
Munros,Broad Cairn,998.0,3.07,14202,https://www.walkhighlands.co.uk/munros/broad-cairn,56.9191891,-3.249394
Munros,Ben More Assynt,998.0,3.98,7381,https://www.walkhighlands.co.uk/munros/ben-more-assynt,58.1383696,-4.8583643
Munros,Glas Bheinn Mhòr,997.0,3.57,6931,https://www.walkhighlands.co.uk/munros/glas-bheinn-mhor,56.5424562,-5.0054527
Munros,A' Chailleach (Fannichs),997.0,3.47,5837,https://www.walkhighlands.co.uk/munros/a-chailleach-fannichs,57.6939247,-5.1286991
Munros,Spidean Mialach,996.0,3.73,6064,https://www.walkhighlands.co.uk/munros/spidean-mialach,57.0890386,-5.1937841
Munros,An Caisteal,995.0,3.49,16184,https://www.walkhighlands.co.uk/munros/an-caisteal,56.3387357,-4.6244133
Munros,Sgòr na h-Ulaidh,994.0,3.52,5830,https://www.walkhighlands.co.uk/munros/sgor-na-h-ulaidh,56.6199206,-5.0800735
Munros,Càrn an Fhìdhleir (Càrn Ealar),994.0,2.75,4929,https://www.walkhighlands.co.uk/munros/carn-an-fhidhleir-carn-ealar,56.9360162,-3.8016921
Munros,Spidean Coire nan Clach (Beinn Eighe),993.0,4.5,8388,https://www.walkhighlands.co.uk/munros/spidean-coire-nan-clach-beinn-eighe,57.582238,-5.4036874
